RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  319 2255     0     0  con    5  3.5D+00  4.4D-02  3.704D-04        NaN
  320 2260     0     0  con    4  1.9D+00  5.8D-02  3.469D-04        NaN
  321 2265     0     0  con    4  7.2D-01  2.5D-02  2.819D-04        NaN
  322 2284     0     0  con   18  7.2D+00  3.7D-02  3.796D-04        NaN
  323 2289     0     0  con    4  3.6D+00  1.2D-01  5.236D-04        NaN
  324 2305     0     0  con   15  8.8D+00  1.0D+00  5.821D-04        NaN
  325 2320     0     0  con   14  1.9D+00  1.0D+00  3.137D-04        NaN
  326 2332     0     0  con   11  1.9D+00  9.5D-01  4.119D-04        NaN
  327 2335     0     0  con    2  9.8D-01  4.4D-01  4.460D-04        NaN
  328 2340     0     0  con    4  2.1D+00  3.7D-01  4.982D-04        NaN
  329 2347     0     0  con    6  1.1D+01  1.9D-01  4.758D-04        NaN
  330 2351     0     0  con    3  6.9D-01  2.3D-01  4.538D-04        NaN
  331 2368     0     0  con   16  1.2D+00  5.7D-01  5.341D-04        NaN
  332 2386     0     0  con   17  1.4D+00  6.5D-02  4.254D-04        NaN
  333 2391     0     0  con    4  4.7D-01  1.1D-01  2.774D-04        NaN
  334 2404     0     0  con   12  1.3D+00  4.3D-01  2.306D-04        NaN
  335 2409     0     0  con    4  2.0D+00  8.2D-02  2.449D-04        NaN
  336 2414     0     0  con    4  3.4D+00  2.0D-01  2.398D-04        NaN
  337 2419     0     0  con    4  2.9D+00  2.6D-01  1.517D-04        NaN
  338 2430     0     0  con   10  2.1D+00  1.8D-01  1.315D-04        NaN
  339 2433     0     0  con    2  1.0D+00  1.8D-01  2.300D-04        NaN
  340 2437     0     0  con    3  5.8D-01  9.2D-02  2.384D-04        NaN
  341 2443     0     0  con    5  2.9D+00  3.4D-01  1.420D-04        NaN
  342 2447     0     0  con    3  7.9D-01  9.4D-02  1.845D-04        NaN
  343 2453     0     0  con    5  3.9D+00  1.1D-01  1.266D-04        NaN
  344 2458     0     0  con    4  1.5D+00  1.2D-01  8.776D-05        NaN
  345 2466     0     0  con    7  2.6D+00  3.2D-02  1.237D-04        NaN
  346 2476     0     0  con    9  2.3D+00  5.3D-02  8.758D-05        NaN
  347 2481     0     0  con    4  6.6D-01  3.8D-02  1.087D-04        NaN
  348 2487     0     0  con    5  2.5D+00  4.1D-02  9.752D-05        NaN
  349 2493     0     0  con    5  3.3D+00  1.0D-01  8.715D-05        NaN
  350 2508     0     0  con   14  1.7D+00  1.2D-01  1.240D-04        NaN
  351 2514     0     0  con    5  1.6D+00  8.0D-02  1.319D-04        NaN
  352 2519     0     0  con    4  1.5D+00  1.3D-01  1.732D-04        NaN
  353 2532     0     0  con   12  1.9D+00  3.7D-01  1.725D-04        NaN
  354 2537     0     0  con    4  5.5D-01  5.1D-02  2.465D-04        NaN
  355 2551     0     0  con   13  2.2D+00  3.9D-02  2.287D-04        NaN
  356 2557     0     0  con    5  3.4D+00  2.6D-01  1.050D-04        NaN
  357 2570     0     0  con   12  2.3D+00  3.0D-01  2.514D-04        NaN
  358 2575     0     0  con    4  3.0D+00  4.8D-01  1.741D-04        NaN
  359 2579     0     0  con    3  8.8D-01  3.4D-01  1.002D-04        NaN
  360 2587     0     0  con    7  2.3D+00  1.1D-01  1.005D-04        NaN
  361 2605     0     0  con   17  1.5D+00  9.8D-02  8.349D-05        NaN
  362 2620     0     0  con   14  2.3D+00  1.2D-01  1.473D-04        NaN
  363 2628     0     0  con    7  3.1D+00  4.7D-02  8.014D-05        NaN
  364 2634     0     0  con    5  3.7D+00  9.7D-02  1.059D-04        NaN
  365 2651     0     0  con   16  3.4D-01  2.3D-02  1.076D-04        NaN
  366 2655     0     0  con    3  4.5D+00  1.1D-01  8.317D-05        NaN
  367 2674     0     0  con   18  7.6D+00  2.7D-01  1.551D-04        NaN
  368 2690     0     0  con   15  3.2D-01  3.2D-01  2.096D-04        NaN
  369 2696     0     0  con    5  8.5D-01  3.3D-01  2.162D-04        NaN
  370 2711     0     0  con   14  2.2D+00  3.7D-01  1.816D-04        NaN
  371 2729     0     0  con   17  5.3D+00  1.8D-01  2.113D-04        NaN
  372 2744     0     0  con   14  5.6D+00  8.6D-01  2.580D-04        NaN
  373 2747     0     0  con    2  9.4D-01  4.7D-01  2.807D-04        NaN
  374 2759     0     0  con   11  1.7D-01  2.0D-01  2.737D-04        NaN
  375 2774     0     0  con   14  1.9D+00  1.3D-01  2.239D-04        NaN
  376 2779     0     0  con    4  1.5D+00  4.5D-02  2.249D-04        NaN
  377 2796     0     0  con   16  5.7D+00  3.7D-01  4.113D-04        NaN
  378 2811     0     0  con   14  2.0D+00  1.3D+00  4.555D-04        NaN
  379 2826     0     0  con   14  2.2D+00  4.3D-01  3.782D-04        NaN
  380 2832     0     0  con    5  2.8D+00  4.3D-01  3.584D-04        NaN
  381 2845     0     0  con   12  1.6D+00  2.2D-01  3.481D-04        NaN
  382 2851     0     0  con    5  2.1D+00  5.0D-01  3.026D-04        NaN
  383 2866     0     0  con   14  2.0D+00  7.9D-01  3.834D-04        NaN
  384 2871     0     0  con    4  2.2D+00  1.1D-01  3.765D-04        NaN
  385 2877     0     0  con    5  3.2D+00  4.9D-01  4.336D-04        NaN
  386 2881     0     0  con    3  5.8D-01  2.8D-01  4.851D-04        NaN
  387 2887     0     0  con    5  4.2D+00  6.2D-01  4.157D-04        NaN
  388 2902     0     0  con   14  1.8D-01  8.8D-02  4.687D-04        NaN
  389 2908     0     0  con    5  3.2D+00  2.6D-01  4.541D-04        NaN
  390 2914     0     0  con    5  7.6D+00  2.5D-01  2.500D-04        NaN
  391 2921     0     0  con    6  3.1D+00  8.0D+00  6.575D-04        NaN
  392 2933     0     0  con   11  1.7D-01  1.4D+00  7.344D-04        NaN
  393 2938     0     0  con    4  4.3D-01  1.6D+00  5.931D-04        NaN
  394 2942     0     0  con    3  3.8D-01  3.0D-01  6.709D-04        NaN
  395 2948     0     0  con    5  2.9D+00  5.9D-01  3.842D-04        NaN
  396 2954     0     0  con    5  2.5D+00  1.5D+00  2.991D-04        NaN
  397 2957     0     0  con    2  9.9D-01  8.2D-01  2.521D-04        NaN
  398 2962     0     0  con    4  2.4D+00  5.9D-01  2.118D-04        NaN
  399 2975     0     0  con   12  2.2D-01  1.4D-01  1.513D-04        NaN
  400 2979     0     0  con    3  7.2D-01  1.9D-01  1.395D-04        NaN
  401 2994     0     0  con   14  2.0D+00  1.7D-01  1.070D-04        NaN
  402 3010     0     0  con   15  1.5D+00  3.0D-01  1.657D-04        NaN
  403 3016     0     0  con    5  3.3D+00  2.5D-01  1.923D-04        NaN
  404 3022     0     0  con    5  3.0D+00  3.6D-01  1.079D-04        NaN
  405 3027     0     0  con    4  2.1D+00  1.3D-01  1.710D-04        NaN
  406 3046     0     0  con   18  5.9D+00  1.1D+00  1.478D-04        NaN
  407 3060     0     0  con   13  2.3D+00  1.2D+00  1.421D-04        NaN
  408 3065     0     0  con    4  1.2D+00  9.8D-02  1.666D-04        NaN
  409 3070     0     0  con    4  1.6D+00  5.6D-01  1.841D-04        NaN
  410 3076     0     0  con    5  2.6D+00  5.2D-02  1.262D-04        NaN
  411 3081     0     0  con    4  8.0D-01  1.6D-01  1.778D-04        NaN
  412 3098     0     0  con   16  5.4D+00  7.3D-01  1.962D-04        NaN
  413 3103     0     0  con    4  7.6D-01  4.7D-01  1.212D-04        NaN
  414 3108     0     0  con    4  1.7D+00  3.5D-01  1.770D-04        NaN
  415 3112     0     0  con    3  7.5D-01  4.5D-02  1.163D-04        NaN
  416 3127     0     0  con   14  7.4D+00  1.6D-01  1.430D-04        NaN
  417 3132     0     0  con    4  2.0D+00  8.5D-01  1.188D-04        NaN
  418 3148     0     0  con   15  1.8D+00  1.7D+00  9.557D-05        NaN
  419 3160     0     0  con   11  2.5D-01  2.1D-01  8.147D-05        NaN
  420 3166     0     0  con    5  2.7D+00  6.3D-02  7.703D-05        NaN
  421 3170     0     0  con    3  1.0D+00  1.6D-01  1.071D-04        NaN
  422 3180     0     0  con    9  1.2D+00  8.8D-02  1.119D-04        NaN
  423 3185     0     0  con    4  3.5D+00  4.2D-01  8.461D-05        NaN
  424 3196     0     0  con   10  2.3D+00  2.3D-01  1.548D-04        NaN
  425 3201     0     0  con    4  6.6D-01  6.6D-02  8.676D-05        NaN
  426 3207     0     0  con    5  9.4D-01  1.3D-01  9.189D-05        NaN
  427 3212     0     0  con    4  3.8D+00  4.4D-01  8.301D-05        NaN
  428 3217     0     0  con    4  4.5D+00  8.5D-02  8.690D-05        NaN
  429 3223     0     0  con    5  3.5D+00  4.6D-01  1.150D-04        NaN
  430 3229     0     0  con    5  2.4D+00  1.4D-01  1.285D-04        NaN
  431 3262     1     0  ---   12  1.5D+00  8.6D-04  1.330D-04        NaN
  432 3268     0     0  con    5  1.6D+01  8.2D-03  8.639D-05        NaN
  433 3274     0     0  con    5  3.5D+00  1.8D-02  1.175D-04        NaN
  434 3279     0     0  con    4  2.2D+00  2.5D-02  9.030D-05        NaN
  435 3290     0     0  con   10  2.3D+00  2.8D-02  9.147D-05        NaN
  436 3296     0     0  con    5  2.7D+00  3.1D-02  5.277D-05        NaN
  437 3302     0     0  con    5  9.9D+00  7.4D-02  9.671D-05        NaN
  438 3309     0     0  con    6  1.4D+00  9.6D-02  1.423D-04        NaN
  439 3322     0     0  con   12  1.3D+00  8.9D-02  7.596D-05        NaN
  440 3334     0     0  con   11  1.2D+01  2.0D-01  1.126D-04        NaN
  441 3349     0     0  con   14  2.4D+00  2.4D-01  1.029D-04        NaN
  442 3362     0     0  con   12  1.5D-01  6.0D-03  9.670D-05        NaN
  443 3367     0     0  con    4  2.5D+00  4.6D-02  9.000D-05        NaN
  444 3372     0     0  con    4  3.6D+00  2.3D-01  1.763D-04        NaN
  445 3377     0     0  con    4  6.2D-01  1.2D-01  1.456D-04        NaN
  446 3382     0     0  con    4  2.6D+00  8.3D-02  1.882D-04        NaN
  447 3397     0     0  con   14  5.0D+00  1.8D-01  2.181D-04        NaN
  448 3403     0     0  con    5  2.5D+00  2.3D-01  1.441D-04        NaN
  449 3408     0     0  con    4  2.9D+00  4.0D-01  1.617D-04        NaN
  450 3424     0     0  con   15  1.8D+00  1.6D-01  8.645D-05        NaN
  451 3429     0     0  con    4  4.4D+00  1.1D-01  8.529D-05        NaN
  452 3434     0     0  con    4  2.7D+00  6.1D-02  8.629D-05        NaN
  453 3447     0     0  con   12  1.5D+00  2.2D-02  7.050D-05        NaN
  454 3464     0     0  con   16  1.7D+00  1.9D-02  6.635D-05        NaN
  455 3469     0     0  con    4  4.1D+00  1.0D-01  1.265D-04        NaN
  456 3474     0     0  con    4  6.3D-01  3.8D-02  8.002D-05        NaN
  457 3479     0     0  con    4  1.6D+00  1.0D-01  6.455D-05        NaN
  458 3484     0     0  con    4  3.3D+00  4.9D-02  6.807D-05        NaN
  459 3489     0     0  con    4  2.3D+00  4.5D-02  5.369D-05        NaN
  460 3502     0     0  con   12  1.7D+00  3.5D-02  7.931D-05        NaN
  461 3507     0     0  con    4  4.3D+00  1.0D-01  1.097D-04        NaN
  462 3520     0     0  con   12  1.1D+00  5.5D-02  9.724D-05        NaN
  463 3526     0     0  con    5  6.4D+00  1.8D-01  7.634D-05        NaN
  464 3538     0     0  con   11  2.9D-01  6.6D-02  7.735D-05        NaN
  465 3549     0     0  con   10  1.5D+00  4.5D-02  7.855D-05        NaN
  466 3565     0     0  con   15  8.6D+00  3.4D-01  7.635D-05        NaN
  467 3569     0     0  con    3  7.1D-01  9.2D-02  7.696D-05        NaN
  468 3575     0     0  con    5  3.3D+00  7.4D-02  5.506D-05        NaN
  469 3588     0     0  con   12  1.5D+00  1.1D-01  4.897D-05        NaN
  470 3593     0     0  con    4  1.8D+00  4.5D-02  6.619D-05        NaN
  471 3610     0     0  con   16  5.8D+00  8.0D-02  7.024D-05        NaN
  472 3615     0     0  con    4  3.3D+00  1.4D-01  5.270D-05        NaN
  473 3620     0     0  con    4  2.8D+00  1.3D-01  5.102D-05        NaN
  474 3626     0     0  con    5  6.0D+00  3.0D-02  4.841D-05        NaN
  475 3631     0     0  con    4  3.3D+00  4.5D-02  6.075D-05        NaN
  476 3635     0     0  con    3  7.9D-01  4.2D-02  6.856D-05        NaN
  477 3641     0     0  con    5  8.0D+00  5.4D-02  5.131D-05        NaN
  478 3656     0     0  con   14  2.3D+00  1.2D-01  4.190D-05        NaN
  479 3660     0     0  con    3  5.0D-01  1.3D-02  4.269D-05        NaN
  480 3665     0     0  con    4  3.2D+00  1.5D-02  4.210D-05        NaN
  481 3676     0     0  con   10  1.8D+00  2.5D-02  5.314D-05        NaN
  482 3682     0     0  con    5  2.9D+00  5.8D-02  4.703D-05        NaN
  483 3695     0     0  con   12  1.6D+00  7.0D-02  3.199D-05        NaN
  484 3699     0     0  con    3  2.9D-01  3.3D-02  3.226D-05        NaN
  485 3713     0     0  con   13  5.0D+00  1.2D-02  4.355D-05        NaN
  486 3718     0     0  con    4  2.0D+00  4.3D-02  5.240D-05        NaN
  487 3722     0     0  con    3  4.0D-01  3.0D-02  5.241D-05        NaN
  488 3728     0     0  con    5  8.9D+00  3.8D-02  6.098D-05        NaN
  489 3734     0     0  con    5  4.0D+00  3.7D-01  5.031D-05        NaN
  490 3739     0     0  con    4  4.1D-01  1.4D-02  5.800D-05        NaN
  491 3752     0     0  con   12  2.0D+00  2.4D-02  6.016D-05        NaN
  492 3757     0     0  con    4  3.9D+00  3.0D-02  9.784D-05        NaN
  493 3762     0     0  con    4  4.0D+00  1.1D-01  4.043D-05        NaN
  494 3771     0     0  con    8  3.2D-01  6.5D-02  3.853D-05        NaN
  495 3783     0     0  con   11  3.4D-01  2.2D-02  3.813D-05        NaN
  496 3788     0     0  con    4  5.1D+00  3.8D-02  5.134D-05        NaN
  497 3793     0     0  con    4  2.1D+00  1.1D-01  5.963D-05        NaN
  498 3801     0     0  con    7  1.0D+00  3.6D-02  6.767D-05        NaN
  499 3807     0     0  con    5  6.5D+00  8.3D-02  8.339D-05        NaN
  500 3825     0     0  con   17  1.8D+00  1.1D-01  6.408D-05        NaN
  501 3833     0     0  con    7  5.2D+00  2.5D-01  1.416D-04        NaN
  502 3838     0     0  con    4  6.8D-01  1.7D-01  1.577D-04        NaN
  503 3849     0     0  con   10  1.6D+00  1.6D-01  1.119D-04        NaN
  504 3854     0     0  con    4  1.9D+00  1.6D-01  1.079D-04        NaN
  505 3859     0     0  con    4  1.7D+00  2.2D-01  5.798D-05        NaN
  506 3871     0     0  con   11  1.7D-01  1.7D-02  5.710D-05        NaN
  507 3877     0     0  con    5  3.2D+00  1.6D-02  6.670D-05        NaN
  508 3882     0     0  con    4  2.5D+00  7.2D-02  9.653D-05        NaN
  509 3887     0     0  con    4  6.8D-01  3.8D-02  1.045D-04        NaN
  510 3892     0     0  con    4  2.0D+01  2.4D-01  8.423D-05        NaN
  511 3897     0     0  con    4  2.0D+00  9.8D-02  6.074D-05        NaN
  512 3903     0     0  con    5  3.1D+00  1.0D-01  5.198D-05        NaN
  513 3909     0     0  con    5  5.6D+00  7.2D-02  4.256D-05        NaN
  514 3919     0     0  con    9  1.5D+00  8.2D-02  5.250D-05        NaN
  515 3930     0     0  con   10  2.0D+00  1.0D-01  5.151D-05        NaN
  516 3935     0     0  con    4  2.4D+00  9.4D-02  8.036D-05        NaN
  517 3939     0     0  con    3  2.4D-01  4.8D-02  7.743D-05        NaN
  518 3945     0     0  con    5  2.9D+00  7.9D-02  5.686D-05        NaN
  519 3956     0     0  con   10  1.1D+00  4.8D-02  5.335D-05        NaN
  520 3960     0     0  con    3  5.5D-01  3.1D-02  6.628D-05        NaN
  521 3972     0     0  con   11  8.4D+00  2.4D-01  1.169D-04        NaN
  522 3978     0     0  con    5  3.7D+00  4.8D-01  1.018D-04        NaN
  523 3983     0     0  con    4  1.3D-01  2.1D-02  9.676D-05        NaN
  524 3987     0     0  con    3  4.6D+00  5.3D-02  1.386D-04        NaN
  525 3993     0     0  con    5  1.8D+01  5.8D-01  1.039D-04        NaN
  526 4006     0     0  con   12  1.3D+00  2.1D-01  6.719D-05        NaN
  527 4014     0     0  con    7  2.0D+00  3.3D-01  8.576D-05        NaN
  528 4019     0     0  con    4  4.8D-01  1.5D-01  8.487D-05        NaN
  529 4024     0     0  con    4  1.2D+00  1.4D-01  9.696D-05        NaN
  530 4034     0     0  con    9  2.2D+00  1.9D-01  9.896D-05        NaN
  531 4045     0     0  con   10  2.1D+00  1.8D-01  8.344D-05        NaN
  532 4051     0     0  con    5  3.9D+00  4.0D-01  5.142D-05        NaN
  533 4055     0     0  con    3  4.7D+00  1.1D-01  4.961D-05        NaN
  534 4059     0     0  con    3  1.0D+00  4.1D-02  4.676D-05        NaN
  535 4068     0     0  con    8  2.8D-01  5.0D-02  5.868D-05        NaN
  536 4073     0     0  con    4  2.0D+00  9.0D-02  4.479D-05        NaN
  537 4079     0     0  con    5  1.3D+01  1.6D-01  9.872D-05        NaN
  538 4084     0     0  con    4  8.0D-01  1.1D-01  7.612D-05        NaN
  539 4087     0     0  con    2  9.3D-01  1.1D-01  6.720D-05        NaN
  540 4092     0     0  con    4  2.7D+00  2.8D-01  9.525D-05        NaN
  541 4097     0     0  con    4  3.6D+00  9.3D-02  6.059D-05        NaN
  542 4101     0     0  con    3  8.4D-01  7.9D-02  5.165D-05        NaN
  543 4106     0     0  con    4  1.3D+00  6.5D-02  6.926D-05        NaN
  544 4123     0     0  con   16  5.6D+00  1.0D-01  5.279D-05        NaN
  545 4130     0     0  con    6  2.3D+00  2.0D-01  7.505D-05        NaN
  546 4140     0     0  con    9  2.6D-01  1.2D-01  8.535D-05        NaN
  547 4146     0     0  con    5  3.6D+00  1.4D-01  8.744D-05        NaN
  548 4164     0     0  con   17  1.4D+00  3.5D-01  8.152D-05        NaN
  549 4169     0     0  con    4  3.6D+00  2.5D-01  8.879D-05        NaN
  550 4178     0     0  con    8  2.9D-01  7.0D-02  9.193D-05        NaN
  551 4193     0     0  con   14  2.1D+00  4.1D-01  8.143D-05        NaN
  552 4199     0     0  con    5  4.1D+00  1.1D-01  1.175D-04        NaN
  553 4212     0     0  con   12  1.1D+00  1.6D-01  1.305D-04        NaN
  554 4223     0     0  con   10  1.4D+00  4.4D-01  1.648D-04        NaN
  555 4231     0     0  con    7  5.6D+00  2.3D-01  8.826D-05        NaN
  556 4235     0     0  con    3  4.9D+00  6.3D-01  9.860D-05        NaN
  557 4240     0     0  con    4  1.2D+00  3.5D-01  1.111D-04        NaN
  558 4244     0     0  con    3  6.2D-01  2.3D-01  1.117D-04        NaN
  559 4263     0     0  con   18  6.6D+00  4.8D-01  1.400D-04        NaN
  560 4276     0     0  con   12  1.8D+00  6.7D-01  1.497D-04        NaN
  561 4279     0     0  con    2  9.6D-01  1.3D-01  1.479D-04        NaN
  562 4292     0     0  con   12  1.9D+00  3.6D-01  2.018D-04        NaN
  563 4311     0     0  con   18  5.9D+00  8.4D-01  1.419D-04        NaN
  564 4316     0     0  con    4  3.8D-01  1.5D-01  1.385D-04        NaN
  565 4321     0     0  con    4  5.3D-01  1.5D-01  1.122D-04        NaN
  566 4356     1     0  ---   14  2.0D+00  9.0D-04  1.052D-04        NaN
  567 4362     0     0  con    5  1.1D+01  5.4D-03  8.586D-05        NaN
  568 4373     0     0  con   10  2.0D+00  5.3D-03  5.737D-05        NaN
  569 4379     0     0  con    5  1.3D+01  1.6D-02  8.684D-05        NaN
  570 4392     0     0  con   12  1.5D+00  1.2D-02  7.180D-05        NaN
  571 4397     0     0  con    4  4.6D+00  3.0D-02  1.362D-04        NaN
  572 4403     0     0  con    5  3.2D+00  5.4D-02  5.825D-05        NaN
  573 4410     0     0  con    6  1.1D+01  1.1D-01  1.306D-04        NaN
  574 4415     0     0  con    4  1.6D+00  3.8D-02  9.141D-05        NaN
  575 4424     0     0  con    8  1.2D+01  3.5D-02  1.055D-04        NaN
  576 4440     0     0  con   15  1.1D+01  1.4D-01  1.496D-04        NaN
  577 4456     0     0  con   15  1.3D+00  3.2D-02  6.935D-05        NaN
  578 4472     0     0  con   15  1.0D+01  6.7D-02  6.348D-05        NaN
  579 4476     0     0  con    3  2.7D-01  2.1D-02  4.578D-05        NaN
  580 4482     0     0  con    5  2.6D+00  2.8D-02  3.871D-05        NaN
  581 4493     0     0  con   10  2.0D+00  8.7D-02  5.025D-05        NaN
  582 4497     0     0  con    3  5.9D-01  1.4D-02  5.643D-05        NaN
  583 4502     0     0  con    4  7.2D-01  8.1D-03  5.209D-05        NaN
  584 4518     0     0  con   15  1.0D+01  3.1D-02  5.413D-05        NaN
  585 4524     0     0  con    5  3.8D+00  1.2D-01  3.443D-05        NaN
  586 4530     0     0  con    5  3.3D+00  1.0D-01  4.791D-05        NaN
  587 4534     0     0  con    3  8.2D-01  2.2D-02  5.522D-05        NaN
  588 4540     0     0  con    5  3.7D+00  1.2D-01  9.309D-05        NaN
  589 4555     0     0  con   14  2.3D+00  2.2D-02  5.081D-05        NaN
  590 4560     0     0  con    4  2.2D+00  2.4D-02  6.986D-05        NaN
  591 4571     0     0  con   10  1.0D+00  1.4D-02  8.179D-05        NaN
  592 4576     0     0  con    4  5.3D+00  3.9D-02  7.851D-05        NaN
  593 4580     0     0  con    3  8.6D-01  6.3D-02  7.204D-05        NaN
  594 4586     0     0  con    5  3.3D+00  2.5D-01  9.653D-05        NaN
  595 4591     0     0  con    4  1.2D+00  4.3D-02  8.225D-05        NaN
  596 4597     0     0  con    5  3.9D+00  7.6D-02  5.433D-05        NaN
  597 4603     0     0  con    5  3.2D+00  7.9D-02  3.542D-05        NaN
  598 4612     0     0  con    8  2.8D-01  6.7D-03  5.442D-05        NaN
  599 4617     0     0  con    4  2.6D+00  5.1D-02  6.450D-05        NaN
  600 4621     0     0  con    3  9.6D-01  2.0D-02  5.597D-05        NaN
  601 4634     0     0  con   12  1.1D+00  2.0D-02  4.031D-05        NaN
  602 4639     0     0  con    4  2.1D+00  1.3D-02  5.318D-05        NaN
  603 4651     0     0  con   11  9.5D+00  2.3D-02  6.055D-05        NaN
  604 4657     0     0  con    5  3.9D+00  8.2D-02  4.606D-05        NaN
  605 4663     0     0  con    5  2.7D+00  4.4D-02  2.251D-05        NaN
  606 4668     0     0  con    4  4.0D+00  1.0D-01  3.210D-05        NaN
  607 4673     0     0  con    4  1.4D+00  2.0D-02  2.902D-05        NaN
  608 4679     0     0  con    5  3.0D+00  2.9D-02  4.004D-05        NaN
  609 4684     0     0  con    4  1.4D+00  4.1D-02  4.627D-05        NaN
  610 4690     0     0  con    5  2.6D+00  6.1D-02  2.259D-05        NaN
  611 4695     0     0  con    4  3.1D+00  4.3D-02  1.787D-05        NaN
  612 4701     0     0  con    5  3.0D+00  1.2D-01  3.773D-05        NaN
  613 4705     0     0  con    3  4.7D-01  4.1D-02  2.833D-05        NaN
  614 4712     0     0  con    6  1.3D+01  4.6D-02  3.990D-05        NaN
  615 4717     0     0  con    4  2.9D+00  3.8D-02  4.274D-05        NaN
  616 4723     0     0  con    5  1.4D+01  7.9D-02  3.188D-05        NaN
  617 4727     0     0  con    3  7.3D-01  8.1D-02  3.456D-05        NaN
  618 4732     0     0  con    4  2.7D+00  1.3D-01  5.822D-05        NaN
  619 4738     0     0  con    5  2.8D+00  8.2D-02  5.250D-05        NaN
  620 4743     0     0  con    4  2.4D+00  7.0D-02  8.862D-05        NaN
  621 4749     0     0  con    5  2.9D+00  7.6D-02  6.561D-05        NaN
  622 4755     0     0  con    5  3.5D+00  5.2D-02  7.418D-05        NaN
  623 4773     0     0  con   17  1.8D+00  3.7D-02  5.818D-05        NaN
  624 4780     0     0  con    6  3.7D-01  3.0D-02  6.721D-05        NaN
  625 4785     0     0  con    4  2.7D+00  7.9D-02  4.287D-05        NaN
  626 4796     0     0  con   10  1.7D+00  8.3D-02  6.468D-05        NaN
  627 4801     0     0  con    4  1.8D+00  1.0D-01  5.934D-05        NaN
  628 4806     0     0  con    4  4.2D+00  1.4D-01  7.069D-05        NaN
  629 4816     0     0  con    9  1.3D+00  8.9D-02  4.854D-05        NaN
  630 4827     0     0  con   10  7.2D+00  3.9D-02  4.079D-05        NaN
  631 4832     0     0  con    4  1.6D+00  4.1D-02  3.243D-05        NaN
  632 4846     0     0  con   13  1.6D+00  5.1D-02  3.469D-05        NaN
  633 4852     0     0  con    5  2.6D+00  6.7D-02  2.697D-05        NaN
  634 4857     0     0  con    4  2.4D+00  3.2D-02  3.683D-05        NaN
  635 4868     0     0  con   10  1.2D+00  3.3D-02  3.852D-05        NaN
  636 4873     0     0  con    4  7.9D-01  2.6D-02  3.194D-05        NaN
  637 4890     0     0  con   16  5.5D+00  1.2D-02  5.505D-05        NaN
  638 4895     0     0  con    4  4.4D+00  2.4D-01  4.383D-05        NaN
  639 4900     0     0  con    4  2.1D+00  2.9D-01  3.570D-05        NaN
  640 4910     0     0  con    9  2.2D-01  4.9D-02  4.306D-05        NaN
  641 4915     0     0  con    4  2.7D+00  1.2D-01  4.036D-05        NaN
  642 4921     0     0  con    5  6.4D+00  3.8D-02  2.778D-05        NaN
  643 4926     0     0  con    4  4.5D-01  3.9D-02  4.737D-05        NaN
  644 4936     0     0  con    9  2.3D+00  3.9D-02  4.555D-05        NaN
  645 4941     0     0  con    4  1.8D+00  9.5D-02  4.883D-05        NaN
  646 4946     0     0  con    4  2.6D+00  7.0D-02  5.080D-05        NaN
  647 4953     0     0  con    6  1.2D+01  1.5D-01  5.865D-05        NaN
  648 4958     0     0  con    4  1.5D+00  4.1D-01  4.458D-05        NaN
  649 4964     0     0  con    5  3.5D+00  2.2D-01  3.700D-05        NaN
  650 4969     0     0  con    4  3.4D+00  2.9D-01  5.117D-05        NaN
  651 4975     0     0  con    5  2.6D+00  1.1D-01  2.793D-05        NaN
  652 4980     0     0  con    4  3.3D+00  1.2D-01  3.339D-05        NaN
  653 4985     0     0  con    4  1.7D+00  4.3D-02  4.500D-05        NaN
  654 5001     0     0  con   15  9.5D+00  5.0D-02  3.526D-05        NaN
  655 5005     0     0  con    3  2.0D-01  2.3D-02  3.611D-05        NaN
  656 5016     0     0  con   10  2.1D+00  1.3D-01  3.976D-05        NaN
  657 5022     0     0  con    5  2.6D+00  3.4D-02  4.127D-05        NaN
  658 5027     0     0  con    4  1.3D+00  6.8D-02  3.663D-05        NaN
  659 5037     0     0  con    9  1.9D+00  4.0D-02  3.159D-05        NaN
  660 5043     0     0  con    5  2.4D+00  1.9D-02  2.198D-05        NaN
  661 5051     0     0  con    7  7.0D+00  5.1D-02  4.336D-05        NaN
  662 5055     0     0  con    3  2.3D-01  1.5D-02  3.988D-05        NaN
  663 5069     0     0  con   13  7.6D+00  4.3D-02  2.370D-05        NaN
  664 5082     0     0  con   12  1.4D+00  1.3D-01  2.743D-05        NaN
  665 5100     0     0  con   17  7.4D+00  7.3D-02  3.660D-05        NaN
  666 5104     0     0  con    3  5.8D-02  1.3D-02  3.346D-05        NaN
  667 5115     0     0  con   10  1.9D+00  5.4D-02  4.477D-05        NaN
  668 5119     0     0  con    3  5.5D-01  8.0D-02  5.830D-05        NaN
  669 5125     0     0  con    5  8.7D+00  9.0D-02  6.458D-05        NaN
  670 5142     0     0  con   16  1.2D+00  1.1D-01  6.352D-05        NaN
