RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   83     0     0  con    0  1.0D+00  1.5D-01  3.015D-03  1.415D-01
   73   84     0     0  con    0  1.0D+00  2.6D+00  3.399D-03  1.412D-01
   74   86     0     0  con    1  2.7D-01  1.5D-01  3.377D-03  1.411D-01
   75   87     0     0  con    0  1.0D+00  8.6D-02  2.604D-03  1.408D-01
   76   88     0     0  con    0  1.0D+00  2.9D+00  2.790D-03  1.399D-01
   77   89     0     0  con    0  1.0D+00  4.6D+00  2.147D-03  1.391D-01
   78   90     0     0  con    0  1.0D+00  7.4D+00  3.175D-03  1.385D-01
   79   91     0     0  con    0  1.0D+00  1.1D+00  2.733D-03  1.378D-01
   80   92     0     0  con    0  1.0D+00  7.1D+00  2.223D-03  1.366D-01
   81   96     0     0  con    3  5.8D-01  2.0D+01  3.263D-03  1.323D-01
   82   98     0     0  con    1  3.8D-01  2.8D+00  3.940D-03  1.317D-01
   83  100     0     0  con    1  3.6D-01  3.3D+00  3.494D-03  1.315D-01
   84  101     0     0  con    0  1.0D+00  4.1D-01  2.924D-03  1.308D-01
   85  102     0     0  con    0  1.0D+00  3.7D-01  2.873D-03  1.303D-01
   86  103     0     0  con    0  1.0D+00  2.2D+00  2.938D-03  1.299D-01
   87  105     0     0  con    1  5.2D-01  2.2D+00  3.213D-03  1.295D-01
   88  106     0     0  con    0  1.0D+00  8.2D-01  2.555D-03  1.292D-01
   89  107     0     0  con    0  1.0D+00  1.1D-01  2.044D-03  1.290D-01
   90  108     0     0  con    0  1.0D+00  5.3D-01  1.916D-03  1.288D-01
   91  109     0     0  con    0  1.0D+00  2.5D+00  2.003D-03  1.284D-01
   92  110     0     0  con    0  1.0D+00  5.9D+00  3.306D-03  1.276D-01
   93  112     0     0  con    1  4.0D-01  3.1D+00  3.570D-03  1.272D-01
   94  113     0     0  con    0  1.0D+00  7.2D+00  2.727D-03  1.258D-01
   95  120     0     0  con    6  1.2D+00  9.4D+00  3.064D-03        NaN
   96  135     0     0  con   14  2.4D+00  1.4D+01  2.467D-03        NaN
   97  139     0     0  con    3  8.8D-01  4.5D+00  2.661D-03        NaN
   98  145     0     0  con    5  3.3D+00  1.1D+01  2.127D-03        NaN
   99  154     0     0  con    8  2.8D+00  4.4D+00  2.940D-03        NaN
  100  160     0     0  con    5  3.4D+00  9.7D-01  2.484D-03        NaN
  101  166     0     0  con    5  4.3D+00  1.4D+01  1.633D-03        NaN
  102  184     0     0  con   17  1.5D+00  8.1D+00  2.346D-03        NaN
  103  189     0     0  con    4  8.0D-01  8.0D-01  2.176D-03        NaN
  104  194     0     0  con    4  8.7D-01  5.5D+00  2.084D-03        NaN
  105  198     0     0  con    3  8.0D-01  4.9D+00  2.111D-03        NaN
  106  204     0     0  con    5  2.8D+00  4.3D+00  1.832D-03        NaN
  107  210     0     0  con    5  2.6D+00  6.0D+00  2.210D-03        NaN
  108  215     0     0  con    4  4.9D+00  9.8D+00  1.829D-03        NaN
  109  233     0     0  con   17  1.6D+00  9.4D-01  2.908D-03        NaN
  110  251     0     0  con   17  1.4D+00  1.2D+01  2.461D-03        NaN
  111  257     0     0  con    5  1.8D+00  1.1D+01  1.570D-03        NaN
  112  266     0     0  con    8  2.2D+00  4.4D+00  1.567D-03        NaN
  113  274     0     0  con    7  5.4D-01  1.8D+00  1.563D-03        NaN
  114  279     0     0  con    4  7.5D-01  1.2D+00  1.767D-03        NaN
  115  285     0     0  con    5  9.7D-01  7.2D+00  1.769D-03        NaN
  116  291     0     0  con    5  2.8D+00  4.3D+00  2.212D-03        NaN
  117  318     1     0  ---    6  1.6D-01  3.1D-03  2.039D-03        NaN
  118  324     0     0  con    5  6.4D+00  1.1D-02  2.126D-03        NaN
  119  330     0     0  con    5  5.9D+00  2.6D-02  1.755D-03        NaN
  120  336     0     0  con    5  3.9D+00  5.3D-02  1.664D-03        NaN
  121  341     0     0  con    4  4.5D+00  5.1D-02  1.403D-03        NaN
  122  348     0     0  con    6  3.8D+00  5.4D-02  1.481D-03        NaN
  123  363     0     0  con   14  1.6D+00  7.1D-02  1.628D-03        NaN
  124  368     0     0  con    4  5.1D-01  1.2D-02  1.685D-03        NaN
  125  387     0     0  con   18  6.7D+00  8.2D-02  1.820D-03        NaN
  126  392     0     0  con    4  1.8D+00  4.3D-02  1.425D-03        NaN
  127  409     0     0  con   16  1.6D+00  5.8D-02  1.337D-03        NaN
  128  414     0     0  con    4  3.3D+00  2.3D-02  1.198D-03        NaN
  129  421     0     0  con    6  1.6D+01  1.2D-01  1.402D-03        NaN
  130  436     0     0  con   14  2.3D+00  1.6D-01  1.528D-03        NaN
  131  443     0     0  con    6  1.3D+00  5.1D-02  1.260D-03        NaN
  132  449     0     0  con    5  3.6D+00  1.5D-01  1.453D-03        NaN
  133  464     0     0  con   14  2.0D+00  8.9D-02  1.640D-03        NaN
  134  468     0     0  con    3  6.9D-01  1.3D-01  1.643D-03        NaN
  135  483     0     0  con   14  2.4D+00  1.4D-01  3.117D-03        NaN
  136  489     0     0  con    5  2.6D+00  6.3D-02  2.550D-03        NaN
  137  502     0     0  con   12  1.2D+01  5.2D-01  1.352D-03        NaN
  138  509     0     0  con    6  1.9D-01  4.7D-02  2.085D-03        NaN
  139  527     0     0  con   17  1.4D+00  2.9D-01  9.239D-04        NaN
  140  532     0     0  con    4  1.5D+00  3.8D-02  9.408D-04        NaN
  141  536     0     0  con    3  5.4D-01  4.5D-02  9.410D-04        NaN
  142  551     0     0  con   14  5.2D+00  6.2D-02  8.515D-04        NaN
  143  567     0     0  con   15  9.7D+00  3.3D-01  1.548D-03        NaN
  144  585     0     0  con   17  1.8D+00  2.0D-01  1.018D-03        NaN
  145  592     0     0  con    6  1.2D+00  3.4D-02  1.200D-03        NaN
  146  596     0     0  con    3  4.6D+00  8.5D-01  9.839D-04        NaN
  147  615     0     0  con   18  1.5D-01  5.1D-02  8.086D-04        NaN
  148  628     0     0  con   12  1.2D+00  1.9D-01  8.224D-04        NaN
  149  647     0     0  con   18  6.0D+00  7.7D-02  8.339D-04        NaN
  150  656     0     0  con    8  2.9D+00  1.7D-01  1.004D-03        NaN
  151  674     0     0  con   17  1.2D+00  7.0D-02  1.035D-03        NaN
